Sample ID,Ground Truth,OCR Text
a01-000u.png,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.","A MOVE to stop Mr. Gaits hell from nominating any more Labour Life Peers is to be made at a at a meeting of Labou Mr. Michael Foot has MPs tomorrow. put down a resolution and he is to be backed on the subject by Mr. Will Griffiths, μP for Mancheste Exchange"
a01-000x.png,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour 0M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, 0M P for Manchester Exchange.","3 MOVE to stop Mr. Gaitshall from nominating A any Lucre made a Labani life Peers is to be mach at Labour meeting of labour Food her pul down a 01 Pr tomorrow. Mr. Michael resolution on the the subject and he is to be backed by Mr. Will Griffither, Manchester Exchange. OMP for"
a01-003.png,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","hough they may gather some Left-wing support, large majority of Labour MP are likely to turn down the Foot-Grifiths resolution. Me a Foot's line will be that Labour MPs opposed the Government Bill which brought existence, they should not Life pease into now put forward nominees the believes that the House of Lords should be abolished and that Labour should not take any steps. which would to appear ""prop up"" out-dated an"
a01-003u.png,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Though they may some Left-wing gathe support, a large majority of Labour the Foot- - MP are likely to turn down Griffiths resolution. Mr. Foot's hire will be that as Labour MP. opposed the Government Bill which brought life peers into existence, mey schould not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any which would appear 10 4 u prop up she po an out"
a01-003x.png,"Though they may gather some Left-wing support, a large majority of Labour 0M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour 0M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Left wing support, Though they may gather some large majority of Labour OM Ps are a likely to burn down the Foot- Griffiths resolution. Mr. Foot's line will be that as Labour OM Ps opposed the Govern ment Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appeal to ""prop up"" an out-dated institution."
a01-007.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Since 1958, 13 Labour life Peers and Peresses have been created. Most Cabour sentiment would #still favour the abolition of the House of Cords, but while it remains Labour has to have an adequate number of members. THE two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier."
a01-007u.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Since 1958, 13 Labaur life Peen and Peresses have been created. Most Labar sentiment would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of member. THE two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier."
a01-007x.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Since 1958, 13 Labour life Peers and Peets Peeresses have been created. Most Labour sentiment would still favour the abolition of the House fords, but while it remains Labour has to of have an adequate number of members. THE two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the Challenge from Sir Roy Welensky, the Federal Premics."
a01-011.png,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Delegats form Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's thrican National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northem Rhodesia, but the Colonial Secretary, Mr. Lain Macleod, is insisting on a policy of change."
a01-011u.png,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 membes) and Mr. Harry Nhubula's African National Congress (400,000 ) will meet in cause of action. London today to discuss a common Sir Roy is violently Opposed to Africans getting and eleded majority in Northern Rhodesia, but the Colonial Secretary, Mr. lain Macleod, is insisting CM a policy of change."
a01-011x.png,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Delegates from Mr. Kenneth Kaunda's United National independence Party (280'000 members) and Mr. Harry Nkumbula's African National Congress (400'000) will meet in London toda today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Phodesia, but the Colonial Secretary, fv. lain Macleod, is insisting on a Mr. policy of charge."
a01-014.png,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party boycotting the London talks on the Protectorate's future, said Mr. Nkumbula last night: 1, We want to discuss what to do if the ""1 British government gives in to fir Roy and the talles fall through. There are bound to be demonstrations! Yesterday Sir Roy's chief vide, Mr. Julius Greenfield, telephoned his chief a report 800 his talks with Mr. Macmillan at Chequers,"
a01-014u.png,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Ray's united Federal Party is the Landen talks on the baycatting the Landen Protectorate's future. Said Mr. Numbula last night: We want to discuss what to M do if the British 4 demonstrations. Yesterday Sir Ray's chief aide, Mr. Julin Greenfield, telephoned his chief a report on his talk with Mr. Macmillan at Cheaner ."
