Sample ID,Ground Truth,OCR Text
a01-000u.png,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.","k MOVE to stoe Mr. Garibhkedl from MOVAL OSE mag au, wone Labour ife “Fars Wo to 2 wace_ aka medhua af Lon Leas MPs toucrrend. Myr, Michael Foot lor pre Aown a vesolution on the sudiody Onr Wo do Va. backeR by Mer. Wit Gul Ws , uwoP Rar Mancemradtey Crorrange "
a01-000x.png,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour 0M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, 0M P for Manchester Exchange.",\ Mowe | hog Tr. Gaulledl ou whaling Say st Lo bons Ly. Yow wb ok woh ol o aad 4 lela A ww. Th Cl ted Mw ry dion ttwolutwn ou We aubyel duh la om te be beched \ Me. Wal ce Ur Pe Tada Erde 
a01-003.png,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Kk ee pele me Som mrp Large mayne gf hakonr (0 Ro are Lia A oe ohn ee afk wvetihiu, 20 ao kw. a Oe ee ee ogre Ge iit SEO Lad Bogle as bee poe ne earn, thay thant a ennai on foe dea 'nags th tatu me ge oe ae Aik nh hk. Whe and hed Labonr shynl nik bbe ay hope plek open Ge Sore ge ns oe | ae wt "
a01-003u.png,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","THOAGK Huey org Qabuad comme Ler ~ wor aapport, a lorac wajontby al La®aer WP > wX Lusty to bry downy itnm. “hale = GAME. wsolion. br. Fools bua wilt Qe Wokar Lators MPs cppoeachk Ma Gover yuouwtk “Bill DW, bvorgar ule eors Wo axigbewcn bas ockoulch nok now pur Cored uoMminads, He pelevas Mak Hha Howse. a Lovats shourtod be adsootad ond trak Latosrars- shoula ucok baks_ AK AR Pps is u OWEK Ward aPpReeasr to . pYmr up an ow ~ "
a01-003x.png,"Though they may gather some Left-wing support, a large majority of Labour 0M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour 0M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Thay Hlay amar gether Some dctewsing soups? aq Large avail, of Kebour OM B are Lbely % ham dom the Foot. Gifs rsolukon. Mr root's Lye iH Qe Lat as labouw OM & gppeceot Lhe 60veo- mut Bill iS beylt Of pears ule exskuce, Hey shold uot pbd put Jesaterel monn uces . We bebrve, lat tle Mouse of Lbrds shoul be abolished axco/ that Lehour shoul! uot kal Quy shyas btu) soul appeal to ‘prep up"" Au 6ut~ dake ask taken "
a01-007.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Since 4952, 43 Cale 4h Bess ancl Pertcssa Ain Lea cocabed. Mong Ctmger serdiimenk coould BEALL favour fle abolilicn of Ma. Hour of Corts, Bid wht if pouraina labour duor to duaoe 1 acliquate ruinber of anenbers. THE hoe puck Afprca, Nahinrabuh Fees of Mortem Rledene. have agreed be yt Aegehher do foc He challuge fron Ser Rey Abhewky , Ua Fedral Prenser "
a01-007u.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Giucn. ASE, 1B Lawaur Le Peas ark “Feoese2so Uae bean cucaked. Most Latour montis Walk akin Dromur Me abo hou of Me Houee af Lovds, Bak WU ib wus lahous has do havr® on actequale uuuhe) ol wouter. THE two wool bhiccs Nottomali & “Poulan of Nar bou Rhoadoan lave agur2cos to eek tooel 2. to fae Mo chameuge. from Sir Roy Wolrusky tre “feoresa Wensaaaelt ; "
a01-007x.png,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen- timent would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nation- alist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Shuce 199 , 13 Kabsur Life Fees aul Rets feeresses hace heen Croke. hast Kabour Seakmenk Would shu foveus He abebson of te Macase of fads but Shite if remains Labour las ro have au adequate mumée of menbors he Ludo tual Apscau Nabonalst rarkee e[ Meith etn Chodes hove apreeal Le fet Yoyo Lb Yo face Lhe Clablewg frou Sy toy Veltushy Hy Keclual Trevupep "
a01-011.png,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Duleqes dom Her kum Kaumda's Unie Woriownah Wrdependench Pourtty (280,000 memo) ame Mr. Howry, Whunedoula’'s Hricow Wakuryoh Lomaees 400,000) WU Wak Un Loindvern Aocleuy Ao dirgawr & Commo Lourre Ok cuhvon. Sur Roy. v0 violudly oppor 4o- Acorn gAting. om eucked wajorihyy Un Northom Rhaderro, bus Ahe lolonial Secretory, Hr lan Macleod Ls inriadong on a potioy of chonge- "
a01-011u.png,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","TDers_qor ee Cour Me. Kenner Verunda o Uaiteck Norlomal tWdeprrcttucar “Parby (280, COO workers ) ad Mr. Horva Ni uBula > Meracoan NordLomart Couqures (400, COO ) wih weak ww Lonckor today to draCren A Commun wee ghadie.. Sc “lew @ violently AepereH to hPriccus egbrra corcw’ QhkachkQork rrcuonn bn va Nerbou RrootQeoia, Suk Ha Colcriok Seavekova, Mr. lain Mac leock, Ls lnstoKus mM poo, a change - "
