OCR Text,Ground Truth,Sample ID,old_CER,Model Correction,new_CER,CER_reduction
"k MOVE to stoe Mr. Garibhkedl from MOVAL OSE mag au, wone Labour ife ""Fars Wo to 2 wace_ aka medhua af Lon Leas MPs toucrrend. Myr, Michael Foot lor pre Aown a vesolution on the sudiody Onr Wo do Va. backeR by Mer. Wit Gul Ws , uwoP Rar Mancemradtey Crorrange","A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.",a01-000u.png,0.421875,"MR. IAIN MACLEOD is to step down from his post as Labour Defence spokesman. He is to become a member of the Labour party's executive. Mr. Michael Foot has already taken a step on the direction of the new Defence statement, which is to be led by Mr. Macmillan. Sir William Corell-Barnes, who is winding up the foreign affairs debate, will join the Labour team at the London talks on Monday.",1.0,-137.03703703703704
\ Mowe | hog Tr. Gaulledl ou whaling Say st Lo bons Ly. Yow wb ok woh ol o aad 4 lela A ww. Th Cl ted Mw ry dion ttwolutwn ou We aubyel duh la om te be beched \ Me. Wal ce Ur Pe Tada Erde,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour 0M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, 0M P for Manchester Exchange.",a01-000x.png,0.6395348837209303,"He rose from his breakfast bench and came into the livingroom, where Heather and Steve stood aghast at his entrance. The old man came in a few seconds later, and in a flash of energy swept through the room.",0.7441860465116279,-16.36363636363636
"TDers_qor ee Cour Me. Kenner Verunda o Uaiteck Norlomal tWdeprrcttucar ""Parby (280, COO workers ) ad Mr. Horva Ni uBula > Meracoan NordLomart Couqures (400, COO ) wih weak ww Lonckor today to draCren A Commun wee ghadie.. Sc ""lew @ violently AepereH to hPriccus egbrra corcw' QhkachkQork rrcuonn bn va Nerbou RrootQeoia, Suk Ha Colcriok Seavekova, Mr. lain Mac leock, Ls lnstoKus mM poo, a change -","Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.",a01-011u.png,0.5414507772020726,"True enough, Mr. Kenner Verwoerd of United National Independence Party (280, COO workers) and Mr. Horva Nkumbula of African National Congress (400, COX) met in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary,Mr. Iain Macleod, is insisting on a change.",0.15025906735751296,72.2488038277512
"Hr Hacleok went om vik Ke merce of hancagks House deople foe crisis whi hack thowor ug. He N% not reveaecl ke full plo fo Ke Qfrcarn ana Luck, eho hn 3. Prese pkorg ao not pre Ae Ofcan fhe oveaclt majors ry €x Que teak 9. Cfrcan oletes ole Que Ted yc fh er net, Ae confuerce wil meef fo doung Ae firchom of Q fro power A Hou Se of Aiefr.",Mr. Macleod went on with the conference at Lancaster House despite the crisis which had blown up. He has now revealed his full plans to the Africans and Liberals attending. These plans do not give the Africans the overall majority they are seeking. African delegates are studying them today. The conference will meet to discuss the function of a proposed House of Chiefs.,a01-020.png,0.4501347708894879,"Mr. Macleod went on with the conference at Lancaster House despite the crisis which had blown up. He did not discuss the full plan to the Africans and Liberals, saying only that ""the President must not be party to the imposed division of Germany."" He said that the conference will meet to discuss the function of a House of Chiefs in the House of Lords.",0.3692722371967655,17.96407185628743
"Sendkor M2 CUQUAD , of lo urna , tele pleren OA 2 C2 it re u curv Cue Wrosrinton aorete Hak Wea once back Cots ahdak«.. The Snot ""Ber hey Graben, Waka Lo Laadeck by and ed Serudren, Sandder - Witier "" tcleinee , of urquura - walk tokeuy UW clear seemncn, to AWscres WWaaves's Ape Wor. Soudbear ""RaQetson Lakasn «AL acloaen\ Le Kak seve a WUD Lo Mer. land Rayurg be back w2@cor UA","Senator Allen Ellender, of Louisiana, sparked off the opposition by telling a television audience it was ""current Washington gossip"" that Weaver once had Communist affilia- tions. The Senate Banking Committee, which is headed by another Southern Senator - Willis Robertson, of Virginia - met today in closed session to discuss Weaver's ap- pointment. Senator Robertson later disclosed he had sent a letter to Mr. Kennedy saying he had received several complaints about Weaver's loyalty.",a01-049u.png,0.6358024691358025,"Senator Allen Ellender, of Louisiana, sparked off the opposition by telling a television audience it was ""current Washington gossip"" that Weaver once had Communist affilia- tions. The Senate Banking Committee, which is headed by another Southern Senator - Willis Robertson, of Virginia - met today in closed session to discuss Weaver's ap- pointment. Senator Robertson later disclosed he had sent a letter to Mr. Kennedy saying he had received several complaints about Weaver's loyalty.",0.0,100.0
"Bet he Soul discussins 'na higher Level thar i Hes post' sight be wsefash ho. Fives d Sh proke: é oliscuss Hag pre: oi: Die Brentavs fis. Wes' benua. bere. Ke cster, oslo (S$ Olua pL ee tre xh peck. be Germauy's * aiot ""vs iat 1 20 ur bun. debt he Awen prekh 9 pitiypaiad a WLS Py","But he said discussions ""on a higher level than in the past"" might be useful. The President will probably discuss the problem with Dr. Brentano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210million debt to America. United States officials quickly point out that this is money due to America anyway.",a01-063x.png,0.5822454308093995,"But he said discussions ""on a higher level than in the past"" might be useful. President Kennedy flew to Washington this morning for talks with Mr. Brentano, the West German Foreign Minister. He was due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210million debt to America.",0.3524804177545692,39.46188340807175
"OX Hee Ow Uru prossed by be_ Gowrocus ' cla. bok thou COnndk pay woe Woy SSF ni Wien ust ou wp anna tueir owH eComommnm. The puencerr san Herne io having Ur toa BOOK RAK we nok Poy a, fer be port or for bea piteeuk. The poteranem Govdsuuroul Plokly arieckedr AGW PLS by be Eisen owes Goormuenth do gee Marr to pay a ""gular sun sovoesds be cae of Mae ~a prencan 4+v 0ce > i. Gr eon ceny ;",And they are unimpressed by the Germans' claim that they cannot pay more than 357million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,a01-068u.png,0.5063938618925832,"On the other hand, those opposed to the Government Bill which brought life peers into existence are now putting forward nominees. The nominees are barred from having their names used for the purpose of the House of Lords or for the European Common Market. The Prime Minister disclosed earlier that he had asked the Medical Research Council to reassess the fall-out position in view of the Russian tests.",0.731457800511509,-44.444444444444436
"The nugget ca oe by dra on Avaste' dollar erm, Vr. Adanouts'» Cuma a Ro oud lic ah co oe | Stuullas, 'Dendad Manoa 9 yen eg po Llew be We Wek Gunma Goutal we Lae eg we Gk we Wel be le ee he fs Me thes de urchin Ve uo Psenenn Gthieusacal elwu '",These support costs are a big drain on America's dollar reserves. Dr. Adenauer's answer is the once-and-for-all cash offer of 357million. President Kennedy's rejection of it is a painful blow to the West German Government. It will now have to pay more - and increase taxation to do so - or run the obvious risks in upsetting the new American administration.,a01-072x.png,0.6666666666666666,"The next White Paper on defence, to be published in March, is likely to contain a five-year plan for the three Services. Its aim will be to produce an all-Regular army of about 400,000 men.",0.742296918767507,-11.34453781512606
"Inch, p.c2 Muro to alecken aoe a~ Week Germoauy, ""Dr. Adenaunes be wu A tough apo. Joyce - EQQurken caQles: ""Pesiotenwr ba rrecty ok Kio LWmokiighen ""Pres conrleenca acuullech ha ALA uask kuna Wilebles hmuenta Wor bagasse, exkiror ""Rusia Wn udrasile pows. Ma. saick 42 woe WOLKE Y Fer Wie secure Uilborn aictes 40 coma up wir be causwes On Febvuory 22.","And, since this is election year in West Germany, Dr. Adenauer is in a tough spot. Joyce Egginton cables: President Kennedy at his Washington Press conference ad- mitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answer on February 20.",a01-077u.png,0.5161290322580645,"Inch, p.c. Morfydd Owen to speak at week-end conference in London, ""Dr. Adenauer is in a tough spot. Joyce - Secretary of State, Foreign Office."" President Kennedy is due at Chequers this week. PRESIDENT Kennedy disclosed he had asked Mr. Macmillan to reassess the fall-out position in view of Russian nuclear tests. Mr. Kennedy said he would look into the matter further. The conference in Casablanca will be caused on February 22.",0.7712609970674487,-49.43181818181818
"Tus sur pr ee okwWQwovk wo3071. a ohop aQouk- face. from Wis wosrugs drrng bua @rrencrerwok oad2 oncom COMA IP OA SH . PAR Claruecd plachues We Mel Gaeu hourds porururo vane Loo carern pusrica to lag Ged ""Rareoi an clear 6 he velopurek, ""Puce Kanrrchy Mor Lic BRek 40 ADCIcR og | Pudes men WH Arawach cariqwes . Geavar "" Buon CWLLPREN TWO wen who at pos arcouk -- poroom as by Loot vig Ut Acre HahOck","This surprising statement was a sharp about-face from his warnings during the Presi- dential election campaign. He claimed slackness in the Eisenhower Administration had caused America to lag behind Russia in nuclear development. President Kennedy did his best to avoid giving Pressmen a direct answer. George Brown*&gt; CHILDREN'*&gt; TWO men who are poles apart in personality last night dominated Parliament's fiercest battle since the 1959 election - Mr. George Brown and Mr. Enoch Pow- ell, the Health Minister.",a01-082u.png,0.687984496124031,"This remarkable man of medicine had an increasing number of disciples among unorthodox medical men in the cities of Europe. One of these was the Neapolitan, Dr Giuseppe Mauro, whom Sir Francis Burdett consulted in May 1834. According to Pliny the Younger, who had studied under Anglesey the year before, 'the greatest resource that ever was had was the word of God.",0.7364341085271318,-7.0422535211267565
