OCR Text,Ground Truth,Sample ID,old_CER,Model Correction,new_CER,CER_reduction
"k MOVE to stoe Mr. Garibhkedl from MOVAL OSE mag au, wone Labour ife ""Fars Wo to 2 wace_ aka medhua af Lon Leas MPs toucrrend. Myr, Michael Foot lor pre Aown a vesolution on the sudiody Onr Wo do Va. backeR by Mer. Wit Gul Ws , uwoP Rar Mancemradtey Crorrange","A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.",a01-000u.png,0.421875,"It was a bold move to remove Mr. Garibhkedl from MOVAL OSE mag au, but one Labour ife ""Fars to 2wace"" - aka medhua of Lon Leas MPs. Mr. Michael Foot is now trying to put forward a plan on the sufficiency on which to do so. It has been supported by Mr. Mancurray and Mr. Macmillan.",0.6875,-62.96296296296296
\ Mowe | hog Tr. Gaulledl ou whaling Say st Lo bons Ly. Yow wb ok woh ol o aad 4 lela A ww. Th Cl ted Mw ry dion ttwolutwn ou We aubyel duh la om te be beched \ Me. Wal ce Ur Pe Tada Erde,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour 0M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, 0M P for Manchester Exchange.",a01-000x.png,0.6395348837209303,"Mr. Gaulledl said: ""I think it's a good idea to give it a try. You know, I've been thinking of it ever since I heard about it. I think it would be a good thing if we could get it out of the way before it got out of hand. But I don't know if it's going to happen."" He went on to say that he had not yet thought of it, but that it might be possible.",0.9689922480620154,-51.5151515151515
"TDers_qor ee Cour Me. Kenner Verunda o Uaiteck Norlomal tWdeprrcttucar ""Parby (280, COO workers ) ad Mr. Horva Ni uBula > Meracoan NordLomart Couqures (400, COO ) wih weak ww Lonckor today to draCren A Commun wee ghadie.. Sc ""lew @ violently AepereH to hPriccus egbrra corcw' QhkachkQork rrcuonn bn va Nerbou RrootQeoia, Suk Ha Colcriok Seavekova, Mr. lain Mac leock, Ls lnstoKus mM poo, a change -","Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.",a01-011u.png,0.5414507772020726,"Mr. Kenner Verunda of United National Labour Party (280, COO workers) and Mr. Horvath of the Mercoan National Labour Council (400, chief executive) met in Lonckor today to discuss a Communique. Mr. Verunda said he was violently opposed to the proposed revision of the Constitution, which would bring in a revision by the National Radical Party, Sukha Seavekova, Mr. Hahnemann and others.",0.6010362694300518,-11.004784688995214
"Hr Hacleok went om vik Ke merce of hancagks House deople foe crisis whi hack thowor ug. He N% not reveaecl ke full plo fo Ke Qfrcarn ana Luck, eho hn 3. Prese pkorg ao not pre Ae Ofcan fhe oveaclt majors ry €x Que teak 9. Cfrcan oletes ole Que Ted yc fh er net, Ae confuerce wil meef fo doung Ae firchom of Q fro power A Hou Se of Aiefr.",Mr. Macleod went on with the conference at Lancaster House despite the crisis which had blown up. He has now revealed his full plans to the Africans and Liberals attending. These plans do not give the Africans the overall majority they are seeking. African delegates are studying them today. The conference will meet to discuss the function of a proposed House of Chiefs.,a01-020.png,0.4501347708894879,"Hr. Hahnemann went on to discuss the merce of the House of Lords and the crisis which it was facing. He did not revelled in full praise for the QFRC. He was not revelling in full plaudits for the Government. He said that it was not preoccupied with the issue of the over-representation of the Labour Party in the House. Instead, he said, it was concerned with dealing with the problem of the transfer of power from the Government to the People of India.",0.784366576819407,-74.25149700598801
"Sendkor M2 CUQUAD , of lo urna , tele pleren OA 2 C2 it re u curv Cue Wrosrinton aorete Hak Wea once back Cots ahdak«.. The Snot ""Ber hey Graben, Waka Lo Laadeck by and ed Serudren, Sandder - Witier "" tcleinee , of urquura - walk tokeuy UW clear seemncn, to AWscres WWaaves's Ape Wor. Soudbear ""RaQetson Lakasn «AL acloaen\ Le Kak seve a WUD Lo Mer. land Rayurg be back w2@cor UA","Senator Allen Ellender, of Louisiana, sparked off the opposition by telling a television audience it was ""current Washington gossip"" that Weaver once had Communist affilia- tions. The Senate Banking Committee, which is headed by another Southern Senator - Willis Robertson, of Virginia - met today in closed session to discuss Weaver's ap- pointment. Senator Robertson later disclosed he had sent a letter to Mr. Kennedy saying he had received several complaints about Weaver's loyalty.",a01-049u.png,0.6358024691358025,"Send-or M2 CUQUAD, of the army, said: ""If it pleases you it will be good to know that we are once back in control of the situation."" The Snot ""Berlin"" Graben, of course, was killed by and after the Serdren, Sandder - Witier, of Urquura - walk to a clear and clear seemn, to Sir Roy Welensky's aid. Sir Roy said that Sir Roy would be back in charge in a few days' time.",0.6810699588477366,-7.119741100323609
"Bet he Soul discussins 'na higher Level thar i Hes post' sight be wsefash ho. Fives d Sh proke: é oliscuss Hag pre: oi: Die Brentavs fis. Wes' benua. bere. Ke cster, oslo (S$ Olua pL ee tre xh peck. be Germauy's * aiot ""vs iat 1 20 ur bun. debt he Awen prekh 9 pitiypaiad a WLS Py","But he said discussions ""on a higher level than in the past"" might be useful. The President will probably discuss the problem with Dr. Brentano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210million debt to America. United States officials quickly point out that this is money due to America anyway.",a01-063x.png,0.5822454308093995,"Bet the Soul discuss it at a higher level than in his post' sight would be wise to do so. Fives minutes later he returned to his office. ""I'm going to write to the Brentavians. I'll tell them that I've had a meeting with Mr. Wes's brother. He's in London."" ""I'll see you in the morning,"" said Germauy's secretary. ""Have a good day.""",0.6866840731070496,-17.9372197309417
"OX Hee Ow Uru prossed by be_ Gowrocus ' cla. bok thou COnndk pay woe Woy SSF ni Wien ust ou wp anna tueir owH eComommnm. The puencerr san Herne io having Ur toa BOOK RAK we nok Poy a, fer be port or for bea piteeuk. The poteranem Govdsuuroul Plokly arieckedr AGW PLS by be Eisen owes Goormuenth do gee Marr to pay a ""gular sun sovoesds be cae of Mae ~a prencan 4+v 0ce > i. Gr eon ceny ;",And they are unimpressed by the Germans' claim that they cannot pay more than 357million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,a01-068u.png,0.5063938618925832,"Nor is this to be doubted by Mr. Gowrocus. The Prime Minister has said that he will pay the full amount due to the Government and that it will be paid in full at the end of the month. The Minister for Transport has told Mr. Macmillan that having paid the bill to the Bank of England we should not pay a penny more for port or for any other purpose. The potter-master of the Government Pension Fund AGW PLS by his own admission owes the Government an obligation to pay a ""gular sum"" of £1.5 million.",0.8721227621483376,-72.22222222222221
"The nugget ca oe by dra on Avaste' dollar erm, Vr. Adanouts'» Cuma a Ro oud lic ah co oe | Stuullas, 'Dendad Manoa 9 yen eg po Llew be We Wek Gunma Goutal we Lae eg we Gk we Wel be le ee he fs Me thes de urchin Ve uo Psenenn Gthieusacal elwu '",These support costs are a big drain on America's dollar reserves. Dr. Adenauer's answer is the once-and-for-all cash offer of 357million. President Kennedy's rejection of it is a painful blow to the West German Government. It will now have to pay more - and increase taxation to do so - or run the obvious risks in upsetting the new American administration.,a01-072x.png,0.6666666666666666,"The nugget was that by the end of the year, Mr. Adanouts' Government would be in a stronger position than it had been in the previous five years. 'Dendad Manoa is going to be the Prime Minister of the United Kingdom,' he wrote. 'And we will be in charge of the Government of the People's Republic of China.'",0.742296918767507,-11.34453781512606
"Inch, p.c2 Muro to alecken aoe a~ Week Germoauy, ""Dr. Adenaunes be wu A tough apo. Joyce - EQQurken caQles: ""Pesiotenwr ba rrecty ok Kio LWmokiighen ""Pres conrleenca acuullech ha ALA uask kuna Wilebles hmuenta Wor bagasse, exkiror ""Rusia Wn udrasile pows. Ma. saick 42 woe WOLKE Y Fer Wie secure Uilborn aictes 40 coma up wir be causwes On Febvuory 22.","And, since this is election year in West Germany, Dr. Adenauer is in a tough spot. Joyce Egginton cables: President Kennedy at his Washington Press conference ad- mitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answer on February 20.",a01-077u.png,0.5161290322580645,"Mr. Macmillan went on to explain that Mr. Adenauer would be in for a tough fight. ""Dr. Joyce - Mr. Joyce will be a tough opponent,"" he said. ""Pesiotenwr is right on this point. Mr. Kennedy is right in saying that President Kennedy has no right to interfere in Britain's internal affairs."" He added that ""Rusia is not our enemy."" Mr. Wilson said that if the United Nations Security Council failed to secure a ceasefire on February 22, war would be caused on February 23.",0.9208211143695014,-78.4090909090909
"Tus sur pr ee okwWQwovk wo3071. a ohop aQouk- face. from Wis wosrugs drrng bua @rrencrerwok oad2 oncom COMA IP OA SH . PAR Claruecd plachues We Mel Gaeu hourds porururo vane Loo carern pusrica to lag Ged ""Rareoi an clear 6 he velopurek, ""Puce Kanrrchy Mor Lic BRek 40 ADCIcR og | Pudes men WH Arawach cariqwes . Geavar "" Buon CWLLPREN TWO wen who at pos arcouk -- poroom as by Loot vig Ut Acre HahOck","This surprising statement was a sharp about-face from his warnings during the Presi- dential election campaign. He claimed slackness in the Eisenhower Administration had caused America to lag behind Russia in nuclear development. President Kennedy did his best to avoid giving Pressmen a direct answer. George Brown*&gt; CHILDREN'*&gt; TWO men who are poles apart in personality last night dominated Parliament's fiercest battle since the 1959 election - Mr. George Brown and Mr. Enoch Pow- ell, the Health Minister.",a01-082u.png,0.687984496124031,"It was not so easy to get a clear picture of his face. From the start he looked like a man who had been roused from a deep slumber and was trying to come to terms with his surroundings. But he made an effort to show an understanding of the situation. ""Puce Kanrchy is a man of intelligence,"" he said. ""He knows how to deal with people who at first glance seem to think he is a monster.""",0.7189922480620154,-4.507042253521119
